probe_id,log2FoldChange,logCPM,PValue,padj
1007_s_at,-0.16272972993607732,6.9313301860545655,0.0019801651637507446,0.004140837282697976
1053_at,0.30539567022515435,4.601771180427693,9.899569708638102e-7,3.69140585759276e-6
1405_i_at,1.4266851982620916,4.395732910714208,2.993728548698311e-28,1.50571896442277e-26
1438_at,-0.011632140556308488,5.294850811687101,0.9450737346445495,0.9566828800195651
1487_at,-0.16732691592965843,5.444690621479187,0.002682479893201437,0.005453018424263187
1552256_a_at,-0.3712106176516585,5.512215167545735,3.009534548322053e-6,1.0417170796825253e-5
1552257_a_at,0.3412416738438898,5.872959153366198,1.8796820912000417e-9,1.0406736042907518e-8
1552281_at,-0.6052042410253392,5.0351474204182995,1.1090130811161185e-9,6.3772716790107225e-9
1552309_a_at,0.45707683354674555,2.9810531316483564,0.003161984885129917,0.00633520554972822
1552348_at,-1.5670567161102305,4.294508365214779,3.8002862789545306e-11,2.648826734316193e-10
1552349_a_at,-1.2595154363213488,2.482305745976165,3.1564280038168113e-9,1.6941289180806365e-8
1552362_a_at,-0.06574502955300499,2.8362700235705645,0.6175558502439318,0.6809959674383161
1552365_at,0.16232442030052172,3.757875731030817,0.3852377077471987,0.4575148621221452
1552367_a_at,-0.11492439827710513,2.593971482108107,0.5377747633487232,0.6070791401216936
1552426_a_at,0.08320742476496211,5.435645368923172,0.11455778354709448,0.15950838772290396
1552477_a_at,0.12977237957483373,4.685978203815853,0.07589481396678252,0.11098295686952514
1552519_at,-0.5673454258831873,3.90462336531605,8.315619560967317e-5,2.2553223381428574e-4
1552610_a_at,-0.21438537043349365,5.414697152256969,7.191577437297394e-4,0.001636435197233793
1552612_at,0.4289498432097937,4.234293992175669,5.597139539970819e-5,1.5623281889449553e-4
1552613_s_at,0.4760878479110292,4.100180814566025,4.245531664483742e-8,1.9304915416644454e-7
1552617_a_at,-0.3306600811245201,5.099890099827909,1.0034547113082977e-11,7.62976372293222e-11
1552619_a_at,0.1739701586516838,4.639187471809495,0.08360480209766182,0.12070865833857831
1552621_at,-0.5520704976821054,4.677418624356554,1.1038733441992082e-8,5.474905155743573e-8
