"Rank","Symbol","log2FoldChange_median","padj_best","probe_selected","n_probes","ProbeIDs"
172,"PRELID3B",-1.49350122075681,7.37233509249074e-26,"222696_at",1,"222696_at"
173,"HLA-DQB1",1.06893181007201,1.11307452048572e-25,"206696_at",4,"206696_at;213059_at;202589_at;209457_at"
174,"NFIA",-1.13413801037975,1.39586420683543e-25,"244023_at",1,"244023_at"
175,"STYXL2",1.08673305267675,1.47346233672399e-25,"220658_s_at",1,"220658_s_at"
176,"PIAS2",-1.04652811094354,1.63248526118625e-25,"228088_at",1,"228088_at"
177,"RAB27B",1.38365853908886,1.66970593448929e-25,"209921_at",1,"209921_at"
178,"MMP12",-1.1151751070122,1.87060231674724e-25,"229943_at",1,"229943_at"
179,"UST",-1.09872173089296,2.06928056368048e-25,"209781_s_at",1,"209781_s_at"
180,"FGF19",-1.07574111899168,2.52701796467951e-25,"231252_at",1,"231252_at"
181,"CXCL8",0.115697340474765,3.03825227066294e-25,"205114_s_at",2,"205114_s_at;235652_at"
182,"FCGR3B",1.17537121964829,3.60548983363125e-25,"209969_s_at",2,"209969_s_at;205139_s_at"
183,"HOXD10",-1.34503588463278,4.15512076967882e-25,"222450_at",1,"222450_at"
184,"SSR3",-1.17029007449691,5.52984486349771e-25,"1558515_at",1,"1558515_at"
185,"BCHE",1.12486949084799,6.18658747492898e-25,"226459_at",1,"226459_at"
186,"IL18BP",-1.05273461567077,7.38790791968677e-25,"211089_s_at",1,"211089_s_at"
187,"SEC22B",-1.18197667253941,1.03776363784327e-24,"218704_at",1,"218704_at"
188,"HMGCS2",1.13482584677874,1.05186795981708e-24,"229625_at",1,"229625_at"
189,"KYNU",1.28160128592816,1.5527641071327e-24,"201313_at",1,"201313_at"
190,"MACC1",1.80766275748245,1.63714728667865e-24,"204014_at",1,"204014_at"
191,"PSIP1",1.03200617272902,1.93666753101915e-24,"220293_at",1,"220293_at"
192,"LAMP3",-1.05952129314369,4.93617234681821e-24,"1569540_at",1,"1569540_at"
193,"PTPRD",1.05620687123158,6.55799533049991e-24,"232375_at",1,"232375_at"
194,"TMEM45A",1.22904577139457,8.38937271501869e-24,"206247_at",1,"206247_at"
195,"INO80D",-1.7206455925866,1.24905518833127e-23,"44790_s_at",1,"44790_s_at"
196,"APOOL",1.28327457134712,1.43379362930473e-23,"204103_at",1,"204103_at"
197,"PLA2G2A",1.50447340449239,1.54774724283978e-23,"1405_i_at",1,"1405_i_at"
