"Rank","Symbol","log2FoldChange_median","padj_best","probe_selected","n_probes","ProbeIDs"
390,"EPPK1",-1.1165110486478,9.1763547943222e-11,"220786_s_at",1,"220786_s_at"
391,"IFI44L",-1.32230204493451,1.0980710893404e-10,"225894_at",1,"225894_at"
392,"ANO1",1.11312308904243,1.21513835842692e-10,"206025_s_at",1,"206025_s_at"
393,"EP300-AS1",1.48340093418388,1.24252174338244e-10,"203649_s_at",1,"203649_s_at"
394,"SLC9A7",-1.09036483825516,1.78079610910591e-10,"209459_s_at",1,"209459_s_at"
395,"GPR143",-1.41627670543252,1.78648138605463e-10,"221796_at",1,"221796_at"
396,"NR1D2",-1.18435037756456,1.82222785429919e-10,"205498_at",1,"205498_at"
397,"FCGR2B",1.15205144328696,1.87134009119732e-10,"206307_s_at",1,"206307_s_at"
398,"PRSS21",1.3980833011129,3.05840188640617e-10,"205828_at",1,"205828_at"
399,"TRIB2",-1.31464206417097,4.17590050532898e-10,"212730_at",2,"212730_at;1555882_at"
400,"DES",1.31821291981651,4.68372698182557e-10,"204748_at",1,"204748_at"
401,"ASCL2",1.44217521731017,5.33208809743885e-10,"202888_s_at",1,"202888_s_at"
402,"COXFA4L2",1.0532638526599,6.16543010565583e-10,"232277_at",1,"232277_at"
403,"GZMH",1.17610235466294,6.91286589888702e-10,"221872_at",1,"221872_at"
404,"RNF32-DT",1.03056211465984,7.74334119119067e-10,"223748_at",1,"223748_at"
405,"IL1RN",-1.52255789933332,7.76133452690095e-10,"206422_at",1,"206422_at"
406,"ZC3HAV1",-1.05515530428928,9.9408843142296e-10,"220724_at",1,"220724_at"
407,"ASPH",1.34189983110612,1.80374081805773e-09,"209480_at",1,"209480_at"
408,"ERAP2",1.05701707589786,2.02644223865941e-09,"219607_s_at",1,"219607_s_at"
409,"CIMAP1B",-1.09082634567103,2.39535104052903e-09,"205328_at",1,"205328_at"
410,"NXF3",-1.17855952999719,4.62367879989788e-09,"225016_at",1,"225016_at"
411,"CPLX1",-1.03599112133437,7.49746161734144e-09,"230830_at",1,"230830_at"
412,"CELP",1.29719563179493,8.48236025635907e-09,"204439_at",1,"204439_at"
413,"PGGT1B",-0.06058702403329,9.25556031951566e-09,"202222_s_at",2,"202222_s_at;36564_at"
414,"RAMP1",1.40860448539479,1.25259849866121e-08,"213831_at",1,"213831_at"
415,"MPHOSPH9",1.04287399827271,1.50744191146404e-08,"204006_s_at",1,"204006_s_at"
416,"ARHGAP32",1.19798637085231,1.69520023475401e-08,"238017_at",1,"238017_at"
417,"TRNP1",-1.4799441246772,1.82221710116246e-08,"213479_at",1,"213479_at"
418,"NPIPB13",-1.23218304474978,2.36935638200841e-08,"207080_s_at",1,"207080_s_at"
419,"GZMK",-1.06459142777187,2.98131512190518e-08,"227812_at",1,"227812_at"
420,"GGH",1.08822186611161,3.28787706158022e-08,"230563_at",1,"230563_at"
421,"CMPK2",1.03282607593156,4.23806092463336e-08,"206392_s_at",1,"206392_s_at"
422,"SOD2-OT1",-0.106570637848395,5.65895938363441e-08,"205767_at",2,"205767_at;226757_at"
423,"SLITRK6",-1.16071795923967,1.01883928307393e-07,"229659_s_at",1,"229659_s_at"
424,"SLC1A1",1.26506449149159,1.27800382009366e-07,"209875_s_at",1,"209875_s_at"
425,"BAG4",-1.09310954063865,1.31773046903093e-07,"205433_at",1,"205433_at"
426,"SLC1A7",-1.28651810024911,1.51706149984881e-07,"223970_at",1,"223970_at"
427,"AIM2",-1.36107035018063,2.16021471498722e-07,"209613_s_at",1,"209613_s_at"
428,"BMAL2",-1.11948783805565,2.1836968463221e-07,"206032_at",1,"206032_at"
429,"CLDN10",1.1230020592325,2.24506903393049e-07,"39248_at",1,"39248_at"
430,"PPP3R1",1.17596725466335,2.37708654806247e-07,"205844_at",1,"205844_at"
431,"MMP3",1.42678298790401,2.45602133087649e-07,"214974_x_at",1,"214974_x_at"
432,"TRIM72",-1.11240323213046,2.75542380982015e-07,"205675_at",1,"205675_at"
433,"CD163",0.00470231736547,3.45421788191962e-07,"210143_at",2,"210143_at;215702_s_at"
434,"SYNM",1.51405156090147,4.20615692034686e-07,"1554436_a_at",1,"1554436_a_at"
435,"VANGL2",1.02948318386663,4.46883831478675e-07,"219759_at",1,"219759_at"
436,"ENO2",1.30401695960164,4.97499392923099e-07,"238984_at",1,"238984_at"
437,"IBSP",-1.04990570698294,7.27283932553016e-07,"204259_at",1,"204259_at"
438,"MUC20",-1.13131965995165,7.92258675781608e-07,"227827_at",1,"227827_at"
439,"FARP1",1.23270804863356,8.93053120870441e-07,"214135_at",2,"214135_at;34449_at"
440,"MIR3916",-1.07199136742083,9.06780219624868e-07,"206208_at",1,"206208_at"
441,"RASGEF1A",-1.12014328895246,2.054124248087e-06,"203980_at",1,"203980_at"
442,"ZBTB38",-1.12997068963747,4.36223102477816e-06,"235976_at",1,"235976_at"
443,"MAP3K12",-1.10473581800414,5.72829604028547e-06,"215657_at",1,"215657_at"
444,"HLA-DOA",-1.07146084902894,1.1735627317833e-05,"219948_x_at",1,"219948_x_at"
445,"PPP1CB",-1.26249104283496,1.8453512243306e-05,"214146_s_at",1,"214146_s_at"
446,"POLR3G",1.04704969242969,2.12512359812754e-05,"1555745_a_at",1,"1555745_a_at"
447,"PLEK",1.16076445468452,2.83180395632401e-05,"232578_at",1,"232578_at"
448,"MBD1",-1.12304139132417,5.6589374131197e-05,"219764_at",1,"219764_at"
449,"DPEP1",1.14239136066534,0.0005578880440502,"209752_at",1,"209752_at"
450,"APOL1",-1.05991931997411,0.0006788259383095,"232252_at",1,"232252_at"
