probe_id,deseq2_lfc,deseq2_padj,edger_lfc,edger_padj,limma_lfc,limma_padj
1007_s_at,-0.08633177828450048,0.1384184582901909,-0.16272972993607732,0.00414083728269797,0.15195615180338914,0.00778606376110843
1053_at,0.3693484741388874,2.397025432044167e-7,0.30539567022515435,3.69140585759276e-6,-0.3072919707676788,4.575193299005385e-7
1405_i_at,1.5044734044923858,1.5477472428397848e-23,1.4266851982620916,1.50571896442277e-26,-1.2333025573036631,2.0995053205200725e-22
1438_at,0.05853777209715456,0.7631700537405369,-0.01163214055630848,0.9566828800195653,0.08770138560727148,0.5896880681295807
1487_at,-0.09001044912809145,0.14928330507127063,-0.16732691592965843,0.00545301842426318,0.15106452952835264,0.01269356362389288
1552256_a_at,-0.28909493334530756,7.121488804974166e-4,-0.3712106176516585,1.0417170796825253e-5,0.3384731632422555,1.0024799649565656e-4
1552257_a_at,0.41975763234925817,2.500345357543973e-12,0.3412416738438898,1.0406736042907518e-8,-0.3738966593042628,1.345591214121092e-9
1552281_at,-0.5287147950410449,8.256434025790852e-8,-0.6052042410253392,6.377271679010722e-9,0.7184138223337155,1.3140298164163164e-8
1552309_a_at,0.5376040168802263,0.00303258483585873,0.4570768335467455,0.00633520554972822,-0.40884571875636344,0.00881116802499186
1552348_at,-1.7492296703937402,1.3485553193683777e-19,-1.5670567161102305,2.648826734316193e-10,0.8037461711434252,4.224053905310581e-5
1552349_a_at,-1.337213753385102,3.3996814839223085e-14,-1.2595154363213488,1.6941289180806365e-8,0.6226689428489862,1.0764785449128152e-4
1552362_a_at,0.2530306103286119,0.01704331310526381,-0.06574502955300499,0.6809959674383161,-0.1891891883235719,0.05760317748886851
1552365_at,0.2665757284737554,0.2839707636592111,0.16232442030052172,0.4575148621221452,-0.39075109138621655,0.05821524543222013
1552367_a_at,-0.01091984000919948,0.9689987869747866,-0.11492439827710511,0.6070791401216936,-0.06400456910114903,0.7346700357473239
1552426_a_at,0.1455982174516596,0.02788724308646137,0.08320742476496211,0.15950838772290396,-0.11212841108606146,0.05489462441178825
1552477_a_at,0.19773889665270689,0.0224093059073295,0.12977237957483373,0.11098295686952514,-0.09790173669632062,0.22619107426943671
1552519_at,-0.4984432873438538,0.00103090014149959,-0.5673454258831873,2.2553223381428577e-4,0.4251377796513487,0.00978217033344371
1552610_a_at,-0.1570526389970628,0.0365059166498716,-0.21438537043349365,0.00163643519723379,0.25024749770573573,3.998734874890411e-4
1552612_at,0.497780418856823,3.533812839904987e-5,0.4289498432097937,1.5623281889449553e-4,-0.5198975196093764,7.552297529867566e-8
1552613_s_at,0.5393335832266022,3.9701751734757106e-8,0.4760878479110292,1.9304915416644457e-7,-0.5151018877733256,1.380398384160733e-10
1552617_a_at,-0.272945889395997,7.585958310103494e-7,-0.3306600811245201,7.62976372293222e-11,0.32440093195754277,3.8008958803264036e-10
1552619_a_at,0.21929105804028687,0.08988544054505747,0.1739701586516838,0.12070865833857831,-0.20620724771266016,0.05929938674657404
1552621_at,-0.4824130281467851,9.40981806881054e-7,-0.5520704976821054,5.4749051557435733e-8,0.5501354549631369,2.094475910129988e-6
1552622_s_at,-0.541281532779232,2.396568564491262e-7,-0.6093225173827178,2.2130813306815048e-8,0.5943416270584826,9.842950741439015e-7
