probe_id,log2FoldChange,AveExpr,t,P.Value,padj,B
204681_s_at,0.1561737061818174,5.092970737988953,2.2929976089908757,0.022232088211837954,0.03712162733999688,-4.764763545727154
202757_at,-0.11693616768056621,5.096814162963154,-2.3100639392552593,0.021261237760797462,0.03565059322764489,-4.765402199700315
221558_s_at,0.30460766737064987,4.340823753519303,2.14649278257145,0.03227907258766341,0.05199303933718811,-4.76555830065353
200844_s_at,-0.14165480395078298,7.577008424749436,-2.404926925617398,0.016511618211575665,0.028352134300466438,-4.766018655538463
225780_at,-0.13039477994890863,4.830121118483264,-2.284698299589222,0.022718025268431155,0.03785042063774541,-4.767260723889171
219402_s_at,-0.1354123459134556,6.356580017591108,-2.348383648495534,0.01921524488740614,0.032535628019406036,-4.7674425683680965
217809_at,0.12744149017061368,7.95438734177789,2.415806963562843,0.016031661042740737,0.027620968921016648,-4.767827391210391
225288_at,-0.2738098612053456,2.769123572100605,-1.9783430685762073,0.0483984258206624,0.07454958099450128,-4.7686801524343885
225773_at,-0.10115358449495104,5.039205510324389,-2.3014906866051024,0.021744214498583613,0.03637130693055361,-4.7728116899201485
201197_at,-0.12044965146792021,5.61583791793594,-2.3271191707167658,0.020328219200998584,0.03422376862408511,-4.775015950227273
203511_s_at,-0.10297640669155302,5.444626082168244,-2.3220616689415268,0.020601084530774846,0.0346412523274511,-4.775597498386945
201234_at,-0.13026183312014825,6.303365365221385,-2.342730175897018,0.01950580742941367,0.0329553401054053,-4.776527672894575
225383_at,0.14991048983221872,4.888234089838468,2.2597179571692343,0.02423693140622612,0.04017487949170671,-4.77814482320008
218230_at,0.13018649505716712,5.416181141154107,2.3133036032839067,0.021081184672273528,0.035387453994682905,-4.778892817917459
223513_at,0.19423991831195606,3.8948771220767515,2.074486236365647,0.03850792128505342,0.06082798005408099,-4.779124593966949
212887_at,-0.16229499831883842,5.649525694825244,-2.325977340124686,0.02038954605744111,0.03431786440115736,-4.781014366170934
203691_at,-0.4768157509967758,5.348757338996866,-2.3227041755290285,0.020566242980633167,0.034598957451558277,-4.7819308507616
209473_at,-0.16031932826905348,4.381567643337303,-2.208627671310069,0.027620315913673383,0.04516759166194472,-4.783631571841412
202889_x_at,0.14728457548194548,4.918115782699363,2.2633532576359747,0.02401054281412964,0.03986573895948883,-4.785020119331861
202177_at,-0.19979045751492708,4.713853797318431,-2.2654847985478326,0.023878657969872208,0.03966078493507612,-4.785329904455715
202682_s_at,0.11858890741326242,4.995490213012299,2.2746107208362436,0.023321108171981433,0.03879488072149644,-4.786101090692203
204116_at,0.2887118385151124,5.859299897931747,2.3203710392889016,0.02069300989914405,0.03477399451757337,-4.787879303637116
203860_at,0.45429815905597093,5.325858739187049,2.2837383238113915,0.022774826122180188,0.037933257501075304,-4.790756893029343
200998_s_at,-0.18844631890284874,5.248575022123173,-2.308903037117207,0.02132608415629724,0.035748136374027906,-4.793665988390437
218679_s_at,0.13528938234019883,6.62916576781299,2.3386816180371723,0.019716243013329943,0.033270795992842224,-4.795565159922097
205176_s_at,0.17116446279475872,5.096418681939187,2.27903829700726,0.023054711689207988,0.038369601728520296,-4.7958628914519945
219007_at,-0.11794509378277507,5.888549903691899,-2.3235456450852014,0.020520690097703215,0.034533168868472276,-4.797487207015745
222138_s_at,0.1355245586875628,5.4365321409144185,2.304430144166838,0.021577551360743567,0.03612798198112559,-4.800633662043838
232481_s_at,0.3989830216905664,2.1095163564466617,1.8767766707794096,0.06108836821783162,0.09173530820263949,-4.801631791341924
1558214_s_at,0.2277312052825992,4.649992200297009,2.1983900509497127,0.028345367187296334,0.04623200043569332,-4.802340682949505
226188_at,0.16639416659449885,4.894272898454102,2.248323060047826,0.02495861449941056,0.04124986688247228,-4.803075346520615
208250_s_at,-0.5630919055007217,5.646844597925834,-2.322364555942074,0.02058465328938366,0.03461905662310316,-4.803186324142004
200757_s_at,-0.1375142405823465,6.287125366899899,-2.3300383071416175,0.020172167636935558,0.03397868426014004,-4.805173393679094
224651_at,0.13072017905030628,5.326830738822652,2.2954994237305226,0.022087392469385042,0.036908787322496014,-4.8080666327970345
233982_x_at,0.14774471970151543,4.817035265614119,2.235906684346321,0.025766165182796168,0.04244419192968721,-4.808116223923923
217738_at,0.21968052642438038,5.616861097966869,2.3059715146447908,0.02149060432458374,0.035996965796937,-4.808352311986492
222182_s_at,-0.09871495725123301,5.926903460104088,-2.3189732394482134,0.020769283715748117,0.03489122415662687,-4.8091711711733955
200052_s_at,-0.12258044546729925,6.815701325254653,-2.344290589466902,0.0194252272380056,0.03284445381956345,-4.8164296235138355
211038_s_at,-0.16894336604043192,4.445469504691181,-2.203380507631593,0.027989902943959453,0.04571669922833323,-4.816795466017319
219933_at,-0.10775842911151706,4.820588926087577,-2.2587541930725847,0.02429726016866802,0.04026277031482189,-4.819345416048954
209620_s_at,0.10817080279554314,4.82134164623975,2.2353107423050598,0.02580548824813028,0.04248566091935142,-4.822018922192947
209089_at,0.09085822038703999,7.045301847095394,2.345109476722713,0.019383056477142876,0.03278349921686638,-4.822325491214075
208897_s_at,0.11002547991336957,5.616474101507215,2.301470257363182,0.021745376728292343,0.03637130693055361,-4.82444218007948
202902_s_at,0.2188874113877916,7.0284879448951605,2.3386527118959544,0.01971775261444556,0.033270795992842224,-4.826157625670084
211672_s_at,-0.18216824248579866,5.1850656848772285,-2.290718198649963,0.022364639862177665,0.037319686424222634,-4.827881908250378
204608_at,0.1780022367697218,6.21915237503025,2.3123988479657944,0.021131334331682444,0.03546052391843891,-4.828907224440526
204404_at,-0.259721821685564,6.818801609793701,-2.342722784359996,0.019506189826227482,0.0329553401054053,-4.830585719861407
225893_at,0.1365469090370222,5.1433970175931965,2.270041492859815,0.02359883317462039,0.03923251083173623,-4.830929218459502
230130_at,0.33861663073738213,2.5491226743314512,1.8928558871927708,0.058912178231221246,0.08876598669354054,-4.831136123923274
202193_at,-0.1316198585873749,4.878303439148901,-2.2618944255171,0.02410116983865093,0.03998696491892015,-4.831458156529041
220834_at,0.6743231211205565,2.7801108346785095,1.8917629012754433,0.059058032095539226,0.0889732383405304,-4.832627009809715
201304_at,0.1459480871867463,6.289497156384867,2.312742604957456,0.021112267970653756,0.03543407908030921,-4.832953510636376
203301_s_at,0.16897833881481628,4.824454904523411,2.222207330450715,0.026683360962734198,0.04378965165345764,-4.834886715867449
